iter	Logloss
0	0.6207365974
1	0.5582713742
2	0.5160061579
3	0.4739101236
4	0.4339659709
5	0.4018515668
6	0.3791709884
7	0.3556839568
8	0.3331346509
9	0.3161806901
10	0.3019551755
11	0.2884360911
12	0.2782189376
13	0.2637322533
14	0.254715003
15	0.2421190975
16	0.2301124946
17	0.2232589094
18	0.213227768
19	0.2058131105
20	0.1981361179
21	0.192124581
22	0.1854744937
23	0.1809077072
24	0.1745714253
25	0.170673454
26	0.1658019793
27	0.1627285715
28	0.1575230464
29	0.151679789
30	0.1477364918
31	0.1438560942
32	0.1400343521
33	0.1359777849
34	0.1331348222
35	0.1295595434
36	0.1259190381
37	0.1235449405
38	0.1211513707
39	0.1168534256
40	0.1142003151
41	0.1116712223
42	0.1098611077
43	0.107859593
44	0.1054374594
45	0.10259807
46	0.1005209434
47	0.0987884032
48	0.09706871997
49	0.0950904332
50	0.09249518455
51	0.0905781964
52	0.08874163355
53	0.08721147436
54	0.08573466697
55	0.08386427096
56	0.08255934739
57	0.08081880518
58	0.07872087323
59	0.07768471249
60	0.07645020309
61	0.07567841566
62	0.07472902382
63	0.07302655541
64	0.07186521131
65	0.07057986761
66	0.06933802316
67	0.06836818209
68	0.06716990975
69	0.06580563168
70	0.06523438892
71	0.06471535402
72	0.06330177776
73	0.06216080905
74	0.06131690992
75	0.06003583718
76	0.05912700351
77	0.05800452556
78	0.05722013203
79	0.05601671242
80	0.05438891487
81	0.05392995776
82	0.05317512247
83	0.05215617247
84	0.05146138244
85	0.05059026879
86	0.04997175351
87	0.04898341257
88	0.04844876793
89	0.04787763913
90	0.04684384372
91	0.04601540791
92	0.04562578157
93	0.0449213213
94	0.04398508045
95	0.04315898348
96	0.04201451126
97	0.04121945716
98	0.04067782372
99	0.03996642183
