iter	Passed	Remaining
0	10	1037
1	20	1020
2	30	979
3	40	966
4	49	945
5	59	936
6	70	932
7	80	923
8	91	922
9	102	922
10	111	902
11	121	888
12	130	872
13	139	859
14	149	846
15	159	834
16	169	827
17	179	818
18	189	808
19	199	797
20	210	790
21	220	783
22	230	772
23	240	762
24	250	752
25	260	741
26	271	734
27	281	723
28	290	711
29	300	700
30	309	688
31	318	677
32	327	665
33	337	654
34	347	645
35	357	635
36	366	624
37	375	613
38	385	602
39	393	590
40	402	579
41	411	568
42	421	558
43	430	548
44	440	538
45	450	528
46	459	518
47	469	508
48	479	498
49	489	489
50	499	479
51	509	470
52	519	460
53	528	450
54	538	440
55	547	430
56	557	420
57	566	410
58	575	400
59	584	389
60	594	379
61	603	369
62	612	359
63	622	349
64	632	340
65	641	330
66	651	320
67	660	310
68	670	301
69	680	291
70	689	281
71	699	271
72	708	262
73	718	252
74	728	242
75	737	233
76	747	223
77	757	213
78	767	204
79	778	194
80	789	185
81	799	175
82	808	165
83	818	155
84	827	146
85	837	136
86	846	126
87	857	116
88	867	107
89	878	97
90	888	87
91	898	78
92	908	68
93	919	58
94	929	48
95	938	39
96	946	29
97	955	19
98	964	9
99	973	0
